日期,品类,预测批发价,损耗率（百分数）,建议成本加成率（百分数）,建议售价,预测需求量,建议补货量,预计满足量,临界分位数,预计利润,数学搜索售价,数学搜索加成率（百分数）,数学搜索预计利润,数学搜索是否触及上限,需求关系可靠性,定价依据
2023-07-01,水生根茎类,12.56,13.65,48.93,18.71,23.73,14.7,11.7,0.2224,34.29,21.61,72.01,64.76,是,价格方向较可靠，但未识别出内部最优价,价格搜索触及历史上限，缺少内部最优证据，采用正常销售历史中位加成
2023-07-01,花叶类,3.29,12.83,68.89,5.56,270.76,255.4,208.47,0.3207,318.29,6.62,101.08,475.58,是,价格方向较可靠，但未识别出内部最优价,价格搜索触及历史上限，缺少内部最优证据，采用正常销售历史中位加成
2023-07-01,花菜类,8.0,15.51,53.87,12.31,49.84,39.2,30.5,0.2308,61.79,14.56,81.99,113.5,是,价格方向较可靠，但未识别出内部最优价,价格搜索触及历史上限，缺少内部最优证据，采用正常销售历史中位加成
2023-07-01,茄类,4.59,6.68,57.51,7.23,24.13,19.7,16.93,0.3197,31.99,8.86,93.02,58.89,是,价格关系证据不足，不作精细定价,价格搜索触及历史上限，缺少内部最优证据，采用正常销售历史中位加成
2023-07-01,辣椒类,3.55,9.24,59.57,5.66,110.82,94.3,80.02,0.3095,118.44,7.73,117.93,244.49,是,价格方向较可靠，但未识别出内部最优价,价格搜索触及历史上限，缺少内部最优证据，采用正常销售历史中位加成
2023-07-01,食用菌,3.71,9.45,61.49,5.99,67.58,56.4,46.52,0.3161,69.43,6.71,80.9,102.1,是,价格关系证据不足，不作精细定价,价格搜索触及历史上限，缺少内部最优证据，采用正常销售历史中位加成
2023-07-02,水生根茎类,12.56,13.65,48.93,18.71,21.39,13.4,10.67,0.2224,31.38,21.61,72.01,59.33,是,价格方向较可靠，但未识别出内部最优价,价格搜索触及历史上限，缺少内部最优证据，采用正常销售历史中位加成
2023-07-02,花叶类,3.29,12.83,68.89,5.56,260.09,244.2,199.63,0.3207,306.02,6.62,101.08,456.56,是,价格方向较可靠，但未识别出内部最优价,价格搜索触及历史上限，缺少内部最优证据，采用正常销售历史中位加成
2023-07-02,花菜类,8.0,15.51,53.87,12.31,46.0,35.9,27.85,0.2308,55.66,14.56,81.99,103.48,是,价格方向较可靠，但未识别出内部最优价,价格搜索触及历史上限，缺少内部最优证据，采用正常销售历史中位加成
2023-07-02,茄类,4.59,6.68,57.51,7.23,23.27,18.7,16.18,0.3197,31.11,8.86,93.02,56.95,是,价格关系证据不足，不作精细定价,价格搜索触及历史上限，缺少内部最优证据，采用正常销售历史中位加成
2023-07-02,辣椒类,3.55,9.24,59.57,5.66,105.84,89.9,76.34,0.3095,113.2,7.73,117.93,233.51,是,价格方向较可靠，但未识别出内部最优价,价格搜索触及历史上限，缺少内部最优证据，采用正常销售历史中位加成
2023-07-02,食用菌,3.71,9.45,61.49,5.99,63.66,53.6,44.22,0.3161,66.07,6.71,80.9,97.06,是,价格关系证据不足，不作精细定价,价格搜索触及历史上限，缺少内部最优证据，采用正常销售历史中位加成
2023-07-03,水生根茎类,12.56,13.65,48.93,18.71,13.6,8.6,6.83,0.2224,19.83,21.61,72.01,37.62,是,价格方向较可靠，但未识别出内部最优价,价格搜索触及历史上限，缺少内部最优证据，采用正常销售历史中位加成
2023-07-03,花叶类,3.29,12.83,68.89,5.56,186.34,175.7,143.49,0.3207,219.39,6.62,101.08,327.67,是,价格方向较可靠，但未识别出内部最优价,价格搜索触及历史上限，缺少内部最优证据，采用正常销售历史中位加成
2023-07-03,花菜类,8.0,15.51,53.87,12.31,31.21,24.6,19.07,0.2308,37.89,14.56,81.99,70.4,是,价格方向较可靠，但未识别出内部最优价,价格搜索触及历史上限，缺少内部最优证据，采用正常销售历史中位加成
2023-07-03,茄类,4.59,6.68,57.51,7.23,17.21,14.2,12.23,0.3197,23.25,8.86,93.02,42.67,是,价格关系证据不足，不作精细定价,价格搜索触及历史上限，缺少内部最优证据，采用正常销售历史中位加成
2023-07-03,辣椒类,3.55,9.24,59.57,5.66,76.17,64.1,54.38,0.3095,80.43,7.73,117.93,166.52,是,价格方向较可靠，但未识别出内部最优价,价格搜索触及历史上限，缺少内部最优证据，采用正常销售历史中位加成
2023-07-03,食用菌,3.71,9.45,61.49,5.99,41.73,34.9,28.75,0.3161,42.77,6.71,80.9,62.98,是,价格关系证据不足，不作精细定价,价格搜索触及历史上限，缺少内部最优证据，采用正常销售历史中位加成
2023-07-04,水生根茎类,12.56,13.65,48.93,18.71,13.54,8.6,6.86,0.2224,20.25,21.61,72.01,38.04,是,价格方向较可靠，但未识别出内部最优价,价格搜索触及历史上限，缺少内部最优证据，采用正常销售历史中位加成
2023-07-04,花叶类,3.29,12.83,68.89,5.56,181.01,170.0,139.06,0.3207,213.53,6.62,101.08,318.0,是,价格方向较可靠，但未识别出内部最优价,价格搜索触及历史上限，缺少内部最优证据，采用正常销售历史中位加成
2023-07-04,花菜类,8.0,15.51,53.87,12.31,32.75,25.7,20.01,0.2308,40.7,14.56,81.99,74.66,是,价格方向较可靠，但未识别出内部最优价,价格搜索触及历史上限，缺少内部最优证据，采用正常销售历史中位加成
2023-07-04,茄类,4.59,6.68,57.51,7.23,16.12,13.0,11.23,0.3197,21.55,8.86,93.02,39.51,是,价格关系证据不足，不作精细定价,价格搜索触及历史上限，缺少内部最优证据，采用正常销售历史中位加成
2023-07-04,辣椒类,3.55,9.24,59.57,5.66,74.77,62.5,53.13,0.3095,79.05,7.73,117.93,162.75,是,价格方向较可靠，但未识别出内部最优价,价格搜索触及历史上限，缺少内部最优证据，采用正常销售历史中位加成
2023-07-04,食用菌,3.71,9.45,61.49,5.99,40.74,34.0,28.05,0.3161,41.88,6.71,80.9,61.53,是,价格关系证据不足，不作精细定价,价格搜索触及历史上限，缺少内部最优证据，采用正常销售历史中位加成
2023-07-05,水生根茎类,12.56,13.65,48.93,18.71,13.13,8.2,6.53,0.2224,19.21,21.61,72.01,36.16,是,价格方向较可靠，但未识别出内部最优价,价格搜索触及历史上限，缺少内部最优证据，采用正常销售历史中位加成
2023-07-05,花叶类,3.29,12.83,68.89,5.56,183.77,173.4,141.81,0.3207,217.62,6.62,101.08,323.91,是,价格方向较可靠，但未识别出内部最优价,价格搜索触及历史上限，缺少内部最优证据，采用正常销售历史中位加成
2023-07-05,花菜类,8.0,15.51,53.87,12.31,31.21,24.8,19.23,0.2308,38.28,14.56,81.99,70.76,是,价格方向较可靠，但未识别出内部最优价,价格搜索触及历史上限，缺少内部最优证据，采用正常销售历史中位加成
2023-07-05,茄类,4.59,6.68,57.51,7.23,16.19,12.8,11.09,0.3197,21.45,8.86,93.02,39.35,是,价格关系证据不足，不作精细定价,价格搜索触及历史上限，缺少内部最优证据，采用正常销售历史中位加成
2023-07-05,辣椒类,3.55,9.24,59.57,5.66,75.32,63.2,53.65,0.3095,79.46,7.73,117.93,164.14,是,价格方向较可靠，但未识别出内部最优价,价格搜索触及历史上限，缺少内部最优证据，采用正常销售历史中位加成
2023-07-05,食用菌,3.71,9.45,61.49,5.99,43.93,36.9,30.39,0.3161,45.17,6.71,80.9,66.39,是,价格关系证据不足，不作精细定价,价格搜索触及历史上限，缺少内部最优证据，采用正常销售历史中位加成
2023-07-06,水生根茎类,12.56,13.65,48.93,18.71,13.37,8.5,6.77,0.2224,19.88,21.61,72.01,37.51,是,价格方向较可靠，但未识别出内部最优价,价格搜索触及历史上限，缺少内部最优证据，采用正常销售历史中位加成
2023-07-06,花叶类,3.29,12.83,68.89,5.56,178.11,167.2,136.5,0.3207,208.49,6.62,101.08,311.47,是,价格方向较可靠，但未识别出内部最优价,价格搜索触及历史上限，缺少内部最优证据，采用正常销售历史中位加成
2023-07-06,花菜类,8.0,15.51,53.87,12.31,31.42,24.7,19.21,0.2308,38.82,14.56,81.99,71.07,是,价格方向较可靠，但未识别出内部最优价,价格搜索触及历史上限，缺少内部最优证据，采用正常销售历史中位加成
2023-07-06,茄类,4.59,6.68,57.51,7.23,16.48,13.3,11.47,0.3197,21.91,8.86,93.02,40.2,是,价格关系证据不足，不作精细定价,价格搜索触及历史上限，缺少内部最优证据，采用正常销售历史中位加成
2023-07-06,辣椒类,3.55,9.24,59.57,5.66,75.29,62.6,53.1,0.3095,78.49,7.73,117.93,162.39,是,价格方向较可靠，但未识别出内部最优价,价格搜索触及历史上限，缺少内部最优证据，采用正常销售历史中位加成
2023-07-06,食用菌,3.71,9.45,61.49,5.99,42.56,35.7,29.46,0.3161,44.04,6.71,80.9,64.74,是,价格关系证据不足，不作精细定价,价格搜索触及历史上限，缺少内部最优证据，采用正常销售历史中位加成
2023-07-07,水生根茎类,12.56,13.65,48.93,18.71,16.75,10.4,8.26,0.2224,23.97,21.61,72.01,45.54,是,价格方向较可靠，但未识别出内部最优价,价格搜索触及历史上限，缺少内部最优证据，采用正常销售历史中位加成
2023-07-07,花叶类,3.29,12.83,68.89,5.56,195.44,184.2,150.46,0.3207,230.17,6.62,101.08,343.65,是,价格方向较可靠，但未识别出内部最优价,价格搜索触及历史上限，缺少内部最优证据，采用正常销售历史中位加成
2023-07-07,花菜类,8.0,15.51,53.87,12.31,35.86,28.0,21.65,0.2308,42.51,14.56,81.99,79.64,是,价格方向较可靠，但未识别出内部最优价,价格搜索触及历史上限，缺少内部最优证据，采用正常销售历史中位加成
2023-07-07,茄类,4.59,6.68,57.51,7.23,18.54,15.1,13.01,0.3197,24.78,8.86,93.02,45.47,是,价格关系证据不足，不作精细定价,价格搜索触及历史上限，缺少内部最优证据，采用正常销售历史中位加成
2023-07-07,辣椒类,3.55,9.24,59.57,5.66,82.17,69.2,58.91,0.3095,87.99,7.73,117.93,181.36,是,价格方向较可靠，但未识别出内部最优价,价格搜索触及历史上限，缺少内部最优证据，采用正常销售历史中位加成
2023-07-07,食用菌,3.71,9.45,61.49,5.99,49.9,41.7,34.31,0.3161,50.85,6.71,80.9,74.91,是,价格关系证据不足，不作精细定价,价格搜索触及历史上限，缺少内部最优证据，采用正常销售历史中位加成
